lemma;id;pos;gloss;Russian gloss
жестоко;125581;Df;touth, fearfully;жестоко, страшно
жидята;132003;Ne;Zhidiata;Жидята
жирославичь ;137619;Ne;Zhiroslavich;Жирославич
заблудити;144109;V-;(refl: )to get lost;(возвр: )заблудиться
заволочие;132758;Ne;Zavolochie;Заволочие
заволочьскыи ;124191;A-;of Zavolok;за волоком
заганъ;143230;Ne;Zagan;Заган
заговѣние;143874;Nb;the last day before Lent;заговенье
законьно;135441;Df;legally;законно
закуньфа ;124142;Ne;Vakunofa;Вакуньфа
замертва;138945;Df;til dead;замертво
записывати;143866;V-;write down;записывать
зара;139269;Ne;Zara;Зара
зарубъ;133137;Ne;Zarub;Заруб
зарѣчьскъ;134159;Ne;Zarechsk;Заречск
застрѣлити;143637;V-;shoot;застрелить
заулонъ;131000;Ne;Zebulun;Завулон
захария;130473;Ne;Zechariah;Захария
захарьнъ;131436;Ne;Zakhariin;Захарьин
звиждень;133567;Ne;Zvizhden;Звиждень
звьнигородъ;132893;Ne;Zvenigorod;Звенигород
звѣриньскыи;123255;A-;beastly;как звери
сьдѣсе;123769;Df;here;здесь, сюда
зелиѥ;143773;Nb;potion;зелье
зимѣгола ;123067;Ne;Zimegola;Зимегола
златовьрхыи;143579;A-;golden domed;златоверхий
знамя;143957;Nb;flag;знамя
золотити;143860;V-;glid;золотить
золотовьрхая;134237;Ne;golden domed;Золотоверхая
золотьча;134596;Ne;Zolotcha;Золотча
зустѣнии;143369;Ne;Zustenia;Зустений
зустѣния;143284;Ne;Zustenia;Зустения
зѣло;124880;Df;very;очень
и;124613;Pd;he, she, it;он, она, оно
ибо;120457;Df;and then;и тогда
ивановичь;123893;A-;Ivan's;Иванов
ивановъ;125458;A-;Ivan's;Иванов
иванъ;123478;Ne;Ivan;Иван
иванъко;134160;Ne;Ivanko;Иванко
иворъ;124386;Ne;Ivor;Ивор
иггелдъ;124449;Ne;Iggeld;Иггелд
иггивладъ;124436;Ne;Iggivlad;Иггивлад
игдѣ;140917;Df;where (sometimes);где
игемонъ;130202;Nb;governor;игемон
иглинъ;141338;A-;needle's;игольный
игнатъ;132612;Ne;Ignat;Игнат
игоревичь;141381;A-;Igor's;Игорев
игоревъ;124387;A-;Igor's;Игорев
игорь;121064;Ne;Igor;Игорь
игра;135080;Nb;game, playing;игра
играти;132345;V-;play;играть
игрище;123289;Nb;merrymaking;развлечение, игрище
игрушка;139050;Nb;plaything;игрушка
игумении;136664;A-;hegumen's;игумена
игуменити;134261;V-;be hegumen;руководить (о игуменах)
игумения;141109;Nb;hegumene;игуменья
игуменъ;132122;Nb;hegumen;игумен
игуменьство;132151;Nb;the rank of hegumen;сан игумена
идолопоклонникъ;139270;Nb;idolater;идолопоклонник
идолослужитель;136293;Nb;idolater;идолослужитель
идолъ;130783;Nb;idol;идол
идольскыи;143055;A-;idol;идольский
идѣ;133298;Df;for;ибо
идѣ;133757;Dq;where;где
идѣже;122917;Dq;where, when;где, когда
иевъ;133318;Ne;Job;Иов
иезекииль;130407;Ne;Ezekiel;Иезекиль
иерданъ;130188;Ne;Iordan;Иордан
иереи;134505;Nb;priest;иерей
иеремия;130403;Ne;Jeremiah;Иеремия
иерусалимль;142771;A-;Jerusalem's;Иерусалима
иерусалимъ;130123;Ne;Ierusalim;Иерусалим
иерусалимьскыи;130957;A-;Ierusalim;иерусалимский
иже;121223;Pp;he, she, it;он, она, оно
иже;123171;Df;else;ещё
иже;131566;Pd;which, that who, that;который, тот кто, то что
иже;134460;G-;if;если
иже;141149;Pi;which;который
иже;142701;C-;that;что
ижещи;133386;V-;burn;сжечь
из-за;138786;R-;from across;из-за
изба;133034;Nb;house;изба
избавити;124994;V-;save, rid;спасти, освободить, избавить
избавление;131580;Nb;salvation;спасение
избавляти;133416;V-;rid, exempt;избавлять, освобождать
избивати;130232;V-;beat up;избивать
избывати;133694;V-;rid;избавлять
избыгнѣвъ;134173;Ne;Izbygnev;Избыгнев
избыти;130640;V-;rid, refl: escape;избавить, возвр: избавиться
избытъкъ;131787;Nb;excess;изыбыток
истьбьныи;138946;A-;referring to the house;избной, относящийся к избе
избьрание;143057;Nb;election, choice;избрание, выбор
избьрати;129746;V-;elect, choose;избирать, выбирать
избянои;135976;A-;referring to the house;избяной, относящийся к избе
изваляти;135902;V-;agree, bedraggle;соглашаться, запачкать
извара;136569;Nb;kind of dishes;вид посуды
извести;130346;V-;lead out, to give birth;вывести, произвести на свет
извлѣщи;131757;V-;pull out;извлекать
извнутри;139276;Df;inside;изнутри
изводити;137151;V-;use up;израсходовать
изволение;131155;Nb;will, decision;воля, решение
изволити;123337;V-;wish, allow;хотеть, позволить
изворогъ;133383;Nb;misbirth;выкидыш
изврѣщи;131079;V-;throwing away, erupt;выбросить, извергнуть
извъну;142734;Df;from inside outside;изнутри наружу
извыкнути;141522;V-;learn;выучить
извѣсити;135874;V-;weigh;взвесить
извѣстити;138865;V-;inform;известить
извѣсто;141491;Df;truly, reliably;действительно, надежно
извѣстьно;144363;Df;fore sure;достоверно, известно
извѣсъ;141104;Nb;weight;вес
извѣтъ;133614;Nb;reason, excuse;причина, отговорка
извѣщати;134896;V-;inform, inquire;извещать, узнавать
извѣщение;143432;Nb;notification, statement;извещение, утверждение
изгарати;133199;V-;burn down;сгорать
изгласити;130923;V-;proclaim;провозгласить
изгнити;135010;V-;rot;сгнить
изговорити;135932;V-;talk;говорить
изгои;138593;Nb;outlaw;изгой
изгонити;125023;V-;expel, eject;изгнать, выгнать
изганяти;142643;V-;expel, exile;изгонять, выгонять
изгорѣти;124875;V-;burn;сгореть
изготовити;136599;V-;cook;приготовить
изграбление;143300;Nb;plunder;разграбление
изгрѣбь;135761;Nb;flaxen coarse fibers;льняные вычески
изгрязнити;136665;V-;contaminate;загрязнить
изгубити;133537;V-;kill;погубить
изгънание;138748;Nb;exile;изгнание
издалеча;143344;Df;from afar;издалека
издоити;136479;V-;milk;подоить
издъхнути;139146;V-;die;умереть
издыхание;142953;Nb;breath, breath in;дыхание, вдох
издыхати;140934;V-;die;умирать
изжарити;136163;V-;roast;пожарить
изимати;124358;V-;withdraw, pull out;изымать, вынимать
изискати;124498;V-;scare up;отыскать
изити;124511;V-;go out;выйти
излазити;129725;V-;get out, come out;выходить, вылазить
излаяти;137348;V-;outrage, scold;оскорбить, ругать
излити;135400;V-;vent, pour out;излить, вылить
излиха;133209;Df;overly;слишком
излихыи;132030;A-;surplus;излишний
излишнии;135048;A-;surplus;излишний
излияти;133488;V-;vent, pour out;излить, вылить
изломати;138873;V-;break up, destroy;разломать, сломать
излѣзти;125198;V-;get out, go out;вылезти, выйти
измаилевъ;133299;A-;Izmail's;Измаилов
измаилевыи;133236;A-;Izmail's;Измаилов
измаилъ ;130849;Ne;Ismail;Измаил
изметати;137401;V-;throw;выбросить
измлѣти;141245;V-;grind;смолоть
измочити;135401;V-;soak;намочить
измълкнути;134828;V-;fall silent;умолкнуть
измыти;124871;V-;wash;вымыть
измрѣти;124808;V-;die;умереть
измѣнение;130877;Nb;change;изменение
измѣнити;123862;V-;amend, replace;изменить, заменить
измѣняти;136618;V-;change;изменять
измяти;135402;V-;bruise;помять
изневѣсть;136515;Df;suddenly;внезапно
изнемагати;131931;V-;pine away, weaken;изнемогать, слабеть
изнемощи;124939;V-;weary, become weak;изнемочь, ослабеть
изникнути;142641;V-;arise;возникнуть
износити;133237;V-;take away;выносить
изнутри;143294;Df;from the inside;изнутри
изнутри;143408;R-;from within;изнутри
изныряти;143330;V-;mensurate;измерять
изобидѣти;135356;V-;injure;обидеть
изобилие;130669;Nb;abundance;изобилие
изобильныи;135047;A-;plentiful;в избытке
изобильствовати;131447;V-;abound;изобиловать
изобрѣсти;130469;V-;invent, find;изобрести, найти
изодѣти;124787;V-;equipping themselves;снарядиться
изоостати;140980;V-;stay;остаться
изръвати;139197;V-;tear;разорвать
изравняти;140919;V-;align;выравнивать
израда;143478;Nb;traitor;предатель
израилевъ;130181;A-;Israil's;Израилев
израиль;130319;Ne;Israel;Израиль
изрещи;142960;V-;narrate;рассказать
изринути;125680;V-;drive away;прогнать
изрѣзати;125144;V-;cut;разрезать
изрядити;125194;V-;equip;снарядить
изрядьныи;138933;A-;good;хороший
изубръ;139835;Nb;aurochs;зубр
изумѣние;130100;Nb;amazement;изумление
изумѣти;133737;V-;learn;выучить
изуфреной;135811;A-;woolen;шерстяной
изучити;137158;V-;learn, refl:learn;выучить, возвр: выучиться
изъдѣтьска;133208;Df;from a child;с детства
искоростень;133649;Ne;Iskorosten;Искоростень
изънести;139271;V-;produce;произвести
изънимати;125624;V-;withdraw;изымать
изъѣхати;133842;V-;travel all over;изъездить
изъяти;131071;V-;pull out, take;вынуть, взять
